degree,single count,coincidence count
0,125287.1,22.1
1,127034.4,23.5
2,129528.6,27.4
3,130914.4,25.6
4,132151.9,25.1
5,132978.0,27.5
6,133465.3,22.1
7,133804.9,22.5
8,134085.8,21.2
9,133929.7,21.1
10,133913.4,21.7
11,133640.0,20.5
12,132675.8,20.4
13,131215.3,20.5
14,129830.7,19.7
15,128011.4,20.3
16,125696.8,17.9
17,123548.9,16.7
18,120934.4,18.0
7.0,134002.1,24.0
7.1,134244.2,22.0
7.2,134332.3,24.7
7.3,134592.9,21.5
7.4,134028.2,22.2
7.5,134130.7,24.3
7.6,134043.4,19.6
7.7,134066.1,20.9
7.8,134538.6,22.5
7.9,134953.3,21.9
8.0,134566.9,25.4
8.1,134297.2,22.4
8.2,134446.9,21.9
8.3,134162.5,24.3
8.4,133960.9,19.9
8.5,134132.1,22.5
8.6,134378.7,20.4
8.7,134408.3,20.5
8.8,134307.4,22.6
8.9,134635.2,23.9
9.0,134637.0,22.4
