degree,single count,coincidence count
63,68468.0,45.8
64,69294.3,50.9
65,70016.7,50.3
66,70386.0,47.0
67,71161.9,50.5
68,71072.6,49.5
69,71099.3,54.1
70,71030.4,54.0
71,70952.7,49.0
72,71146.9,52.8
73,70833.1,51.8
74,70363.1,57.1
75,69331.4,60.2
76,68589.8,63.2
77,67336.8,58.7
78,66487.6,57.1
79,65354.1,58.3
80,64098.7,58.0
81,63114.7,59.9
82,61058.6,57.9
83,59864.1,57.7
66.0,70719.5,51.9
66.1,70584.8,52.4
66.2,70755.0,52.6
66.3,70630.0,52.4
66.4,70727.2,45.6
66.5,70823.8,48.3
66.6,70926.2,46.5
66.7,70774.3,53.6
66.8,71167.1,50.5
66.9,70923.4,51.0
67.0,71021.0,54.1
67.1,70767.2,51.9
67.2,70842.5,59.2
67.3,70902.0,54.2
67.4,70618.4,49.4
67.5,70934.9,50.5
67.6,70707.8,54.9
67.7,70808.3,47.8
67.8,70911.4,53.5
67.9,71197.4,52.9
68.0,71183.9,47.0
