,A counts,B counts,Coincidence counts
HH,37626,54391,102
HV,37663,31894,6217
HD,38036,43085,3136
HA,38090,44423,3160
HR,38127,45085,3428
HL,38086,45136,2876
VH,69355,55596,7982
VV,68583,31969,41
VD,68242,43237,3724
VA,68111,44080,4141
VR,68996,44517,4324
VL,69333,44997,4241
DH,52945,55103,4422
DV,53447,32269,3072
DD,53693,43438,336
DA,53455,44711,7237
DR,53250,44596,7249
DL,52840,44334,307
AH,53146,54956,3530
AV,52837,31842,3170
AD,52923,43219,6345
AA,53134,44377,390
AR,53317,44674,343
AL,53236,44775,6415
RH,53056,55837,3323
RV,53613,32035,3550
RD,52716,43466,6420
RA,52755,44327,381
RR,52974,44805,327
RL,53167,45223,6554
LH,54606,56164,4646
LV,54627,31898,2984
LD,53834,43379,316
LA,54353,44906,7260
LR,54708,45223,7367
LL,54304,45040,363
