,A counts,B counts,Coincidence counts
HH,39363,50870,60
HV,39743,33826,6740
HD,39676,43072,3251
HA,39662,42897,3348
HR,39705,43929,3497
HL,40118,43778,2972
VH,61993,50709,6863
VV,61719,33737,42
VD,60994,41977,3068
VA,61278,42342,3376
VR,61411,43175,3202
VL,62206,42957,3165
DH,50649,50305,3452
DV,50725,33985,3155
DD,51054,41610,297
DA,51171,42756,6237
DR,50778,43026,6613
DL,50984,43174,252
AH,51259,50662,2849
AV,51348,33800,3388
AD,52116,43028,5724
AA,51090,42888,390
AR,51697,43597,335
AL,51528,43954,5987
RH,51898,51688,2658
RV,51162,33815,3638
RD,51922,42836,6082
RA,51943,42790,367
RR,51603,44136,347
RL,51570,44323,6152
LH,53066,51868,3944
LV,53012,33913,3190
LD,53215,42532,373
LA,52911,43784,6733
LR,53232,43691,6867
LL,53001,43728,302
