,A counts,B counts,Coincidence counts
HH,37887,52781,94
HV,38114,31741,5567
HD,37798,43527,2999
HA,37672,43599,2608
HR,37789,43740,3055
HL,37969,43640,2672
VH,68223,53965,5670
VV,67787,31633,82
VD,67432,43684,3002
VA,66803,43533,2940
VR,68090,44149,2844
VL,67116,43323,2772
DH,54336,53164,2885
DV,54290,31380,3004
DD,54549,43895,5559
DA,53700,43648,225
DR,54136,43988,2388
DL,54372,43525,3576
AH,54223,52925,2858
AV,54697,31566,2411
AD,54628,43385,237
AA,54789,43348,5492
AR,54261,43921,3696
AL,54146,43129,2145
RH,54703,53246,2965
RV,54336,31343,2626
RD,54292,43768,3432
RA,53726,43534,2743
RR,53569,43731,5745
RL,53650,43181,280
LH,54605,52750,2853
LV,54308,31612,2994
LD,54415,43831,2457
LA,54916,43772,3129
LR,54312,44093,315
LL,54435,42935,5222
