,A counts,B counts,Coincidence counts
HH,79667,47551,87
HV,38369,46668,9458
HD,57411,47089,5031
HA,60169,46824,4719
HR,59249,47228,4951
HL,59173,47039,4567
VH,78504,117625,9768
VV,38458,117602,47
VD,56949,117945,4878
VA,60497,117995,5119
VR,59597,117791,4933
VL,59184,118142,5410
DH,79242,85720,5386
DV,38171,85174,4282
DD,56796,85128,550
DA,60534,85509,9388
DR,59479,84992,9389
DL,59784,85541,542
AH,78185,82385,4468
AV,38529,80834,5392
AD,57350,81702,9109
AA,60990,81596,532
AR,59829,81560,549
AL,59645,81552,9302
RH,79133,79324,4360
RV,38582,79293,5378
RD,57255,78822,8931
RA,60310,79211,508
RR,59381,79334,560
RL,59527,79077,9175
LH,78560,81799,5089
LV,38500,81986,4510
LD,56862,81796,534
LA,60528,82052,9163
LR,59545,82032,9174
LL,59813,82268,531
