,A counts,B counts,Coincidence counts
HH,113974,54634,143
HV,41570,55086,8381
HD,76660,54951,4859
HA,80372,54083,3641
HR,77772,54762,3967
HL,79517,55115,4586
VH,115010,166195,12865
VV,41014,163904,204
VD,75895,165201,5912
VA,81568,166779,7290
VR,77905,166065,6821
VL,78661,166272,6178
DH,115411,114816,7037
DV,41265,116765,4389
DD,76195,116635,10434
DA,81553,116995,886
DR,78728,116568,846
DL,79569,115035,10249
AH,115618,109865,6966
AV,41646,109035,4017
AD,76262,108950,584
AA,81241,108418,10511
AR,78463,108992,10480
AL,79002,109658,694
RH,114897,105845,6426
RV,41330,105845,4130
RD,76374,106684,562
RA,80440,106087,10172
RR,78002,105295,9922
RL,78974,105903,616
LH,114467,110869,6820
LV,41374,110093,4605
LD,75514,109965,10180
LA,80463,110096,758
LR,77833,110005,620
LL,77850,109120,9940
