,0
0,0
1,27
2,14
3,21
4,0
5,16
6,3
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,2
25,0
26,9
27,4
28,7
29,4
30,0
31,1
32,0
33,0
34,0
35,2
36,1
37,1
38,2
39,1
40,0
41,2
42,1
43,0
44,2
45,3
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,2
56,0
57,2
58,0
59,1
60,0
61,0
62,0
63,0
64,2
65,1
66,2
67,1
68,1
69,0
70,0
71,1
72,1
73,1
74,0
75,2
76,1
77,2
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,0
88,0
89,2
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,0
102,3
103,0
104,3
105,1
106,0
107,2
108,2
109,1
110,1
111,4
112,1
113,2
114,1
115,1
116,1
117,2
118,4
119,7
120,6
121,8
122,1
123,0
124,2
125,0
126,0
127,0
128,1
129,3
130,0
131,2
132,1
133,2
134,1
135,3
136,0
137,2
138,0
139,0
140,0
141,1
142,1
143,1
144,2
145,1
146,0
147,1
148,1
149,3
150,3
151,0
152,5
153,1
154,1
155,1
156,0
157,4
158,0
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,4
167,1
168,0
169,2
170,2
171,0
172,3
173,1
174,2
175,0
176,0
177,1
178,1
179,1
180,3
181,0
182,0
183,0
184,1
185,2
186,1
187,0
188,1
189,3
190,2
191,3
192,0
193,0
194,0
195,1
196,2
197,1
198,1
199,2
200,2
201,1
202,2
203,2
204,0
205,0
206,2
207,0
208,1
209,1
210,1
211,2
212,2
213,4
214,0
215,0
216,1
217,0
218,1
219,1
220,0
221,2
222,0
223,2
224,1
225,2
226,0
227,2
228,0
229,3
230,1
231,1
232,4
233,3
234,2
235,2
236,1
237,3
238,1
239,1
240,2
241,0
242,5
243,2
244,3
245,3
246,2
247,2
248,1
249,5
250,6
251,0
252,3
253,2
254,1
255,3
256,0
257,9
258,8
259,0
260,3
261,3
262,5
263,3
264,1
265,3
266,2
267,3
268,6
269,2
270,3
271,4
272,3
273,5
274,6
275,7
276,0
277,3
278,3
279,1
280,7
281,3
282,3
283,4
284,2
285,4
286,3
287,7
288,3
289,3
290,2
291,6
292,3
293,3
294,5
295,4
296,4
297,9
298,8
299,5
300,11
301,6
302,2
303,5
304,5
305,2
306,4
307,0
308,6
309,1
310,1
311,8
312,3
313,2
314,1
315,3
316,6
317,5
318,2
319,2
320,5
321,3
322,4
323,7
324,5
325,7
326,5
327,6
328,2
329,5
330,3
331,4
332,3
333,5
334,6
335,1
336,6
337,2
338,1
339,6
340,3
341,3
342,4
343,5
344,5
345,4
346,3
347,2
348,8
349,4
350,5
351,2
352,6
353,2
354,1
355,6
356,3
357,6
358,0
359,2
360,2
361,1
362,4
363,3
364,5
365,1
366,1
367,4
368,4
369,3
370,2
371,0
372,4
373,1
374,4
375,0
376,1
377,2
378,4
379,2
380,5
381,2
382,5
383,3
384,2
385,3
386,4
387,3
388,2
389,2
390,3
391,3
392,9
393,2
394,0
395,5
396,7
397,3
398,4
399,5
400,2
401,7
402,4
403,3
404,4
405,5
406,2
407,3
408,1
409,3
410,4
411,2
