,0
0,0
1,30303
2,23678
3,27546
4,8105
5,10448
6,9503
7,29005
8,23552
9,29903
10,30122
11,29508
12,29902
13,30029
14,30048
15,30050
16,30015
17,29776
18,30171
19,29989
20,30250
21,30035
22,29982
23,29786
24,30127
25,30043
26,30280
27,26836
28,29033
29,18793
30,17353
31,21563
32,27477
33,27348
34,29610
35,29275
36,29444
37,29597
38,29456
39,29514
40,29640
41,28991
42,29362
43,29440
44,29026
45,29150
46,29679
47,29172
48,29544
49,29308
50,29210
51,30223
52,29965
53,3364
54,3071
55,21472
56,22186
57,29573
58,29032
59,30341
60,30202
61,30664
62,30294
63,30184
64,30350
65,30047
66,30404
67,30606
68,30286
69,30414
70,30288
71,30416
72,30776
73,30618
74,30521
75,30557
76,18822
77,20281
78,27908
79,23964
80,26096
81,30840
82,29895
83,31224
84,30963
85,30633
86,30528
87,30695
88,30945
89,30891
90,30829
91,31061
92,30662
93,31015
94,30762
95,30963
96,31140
97,30924
98,30800
99,30909
100,31126
101,30832
102,30824
103,30829
104,7899
105,26634
106,30086
107,6749
108,7725
109,11618
110,29099
111,24578
112,31802
113,31692
114,31698
115,31380
116,31564
117,31468
118,31236
119,31654
120,31509
121,31343
122,31947
123,31642
124,31673
125,31737
126,32251
127,31741
128,31543
129,31903
130,31670
131,31555
132,29145
133,31666
134,19106
135,17478
136,24362
137,29176
138,30001
139,31414
140,31752
141,31595
142,31639
143,31542
144,31263
145,31884
146,31643
147,31733
148,31962
149,31564
150,31635
151,31755
152,31872
153,31578
154,31688
155,31524
156,31578
157,31281
158,31560
159,31246
160,31644
161,32165
162,30672
163,3498
164,3017
165,18760
166,26657
167,29855
168,31620
169,31479
170,31885
171,32008
172,32044
173,31780
174,31745
175,32127
176,31765
177,31955
178,32268
179,31755
180,32393
181,32252
182,31957
183,32126
184,31743
185,22034
186,23281
187,27719
188,26970
189,28635
190,32180
191,31260
192,32172
193,32117
194,32259
195,32212
196,32316
197,32431
198,32175
199,32365
200,32084
201,32305
202,32138
203,31951
204,32152
205,32053
206,32029
207,32764
208,28023
209,31020
210,6598
211,6470
212,12812
213,29539
214,26168
215,32465
216,32498
217,32551
218,32296
219,32711
220,32288
221,32602
222,32862
223,32780
224,32573
225,32207
226,32728
227,32497
228,32858
229,32515
230,32674
231,32172
232,32456
233,32707
234,32799
235,32470
236,32490
237,32441
238,30342
239,32316
240,19395
241,17049
242,25603
243,29642
244,31366
245,32636
246,31712
247,32611
248,32605
249,32584
250,32610
251,32423
252,32525
253,32813
254,32406
255,32444
256,32732
257,32465
258,32408
259,32111
260,32224
261,32299
262,32075
263,32388
264,32444
265,32638
266,32380
267,32385
268,32523
269,32929
270,30334
271,3994
272,4922
273,17274
274,28721
275,29202
276,32879
277,31682
278,32544
279,32321
280,32311
281,32398
282,32491
283,32164
284,32280
285,32186
286,32544
287,32554
288,32466
289,32240
290,31984
291,32298
292,32467
293,32586
294,32450
295,32378
296,32091
297,32311
298,32328
299,32166
300,32366
301,32342
302,25783
303,27433
304,25358
305,32404
306,24026
307,31059
308,32451
309,31765
310,32678
311,32635
312,32136
313,32506
314,32049
315,32074
316,32398
317,32227
318,32381
319,32594
320,32321
321,32232
322,31816
323,32613
324,32454
325,32570
326,32237
327,32562
328,32343
329,32766
330,32322
331,32139
332,32340
333,32884
