,datetime,description
0,202505091713,
1,202505251610,
2,202505261716,"1 sec, 109.82"
3,202505261720,"1sec, 109.82"
4,202505261722,"1sec, 109.81"
5,202505261735,"10sec, 109.82"
6,202505261738,"1sec, 109.84"
7,202505261739,"1sec, 109.86"
8,202505261741,"1sec, 109.88"
9,202505261742,"1sec, 109.86"
10,202505261800,"1sec, 109.86"
11,202505261802,"1sec, 109.86"
12,202505261803,"1sec, 109.86"
13,202505261805,"1sec, 109.86"
14,202505261807,"1sec, 109.86"
15,202505261809,"1sec, 109.86"
16,202505261811,"1sec, 109.86"
17,202505261813,"1sec, 109.86"
18,202505261814,"1sec, 109.86"
19,202505261816,"1sec, 109.86"
20,202505261818,"1sec, 109.86"
21,202505261819,"1sec, 109.86"
22,202505261821,"1sec, 109.86"
23,202505261823,"1sec, 109.86"
24,202505261824,"1sec, 109.86"
25,202505261826,"1sec, 109.86"
26,202505261827,"1sec, 109.86"
27,202505261829,"1sec, 109.86"
28,202505261831,"1sec, 109.86"
29,202505261833,"1sec, 109.86"
30,202505261834,"1sec, 109.85"
31,202505261836,"1sec, 109.87"
32,202505261846,"10sec, 109.86"
33,202505270913,"0.2sec, 109.86"
34,202505270914,"1.0sec, 109.86"
35,202505270928,"1sec, 109.86"
36,202505281057,
37,202505281058,
38,202505281100,"1sec, 109.85"
39,202505281101,"1sec, 109.86"
40,202505281102,"1sec, 109.87"
41,202505281108,"10sec, 109.86"
42,202505281119,"1sec, 109.84"
43,202505281333,
44,202505281335,
45,202505281337,
46,202505281339,
47,202505281340,
48,202505281341,
49,202505281346,
50,202505281347,
51,202505281348,
52,202505281349,
53,202505281419,
54,202505281420,
55,202505281424,
56,202505281452,
57,202505281454,
58,202505281456,
59,202505281501,
60,202505281507,
61,202505281536,
62,202505281537,
63,202505281541,
64,202505281549,
65,202505281553,
66,202505281555,
67,202505281556,
68,202505281606,
69,202505281608,
70,202505281626,
71,202505281627,
72,202505281630,
73,202505281756,
74,202505281757,
75,202505281810,
76,202505281814,
77,202505281816,
78,202505281818,
79,202505281819,
80,202505281854,
81,202505281856,
