,datetime,description
0,202505021444,"108.00"
1,202505021448,"108.10"
2,202505021451,"108.20"
3,202505021457,"108.30"
4,202505021501,"108.40"
5,202505021505,"108.50"
6,202505021518,"108.60"
7,202505021523,"108.70"
8,202505021527,"108.80"
9,202505021530,"108.90"
10,202505021533,"109.10"
11,202505021537,"109.20"
12,202505021541,"109.30"
13,202505021544,"109.40"
14,202505021546,"109.50"
15,202505021553,"109.60"
16,202505021559,"109.70"
17,202505021602,"109.80"
18,202505021605,"109.90"
19,202505021608,"110.00"
20,202505021613,"110.10"
21,202505021616,"110.20"
22,202505021618,"110.30"
23,202505021622,"110.40"
24,202505021627,"110.50"
25,202505021634,"110.60"
26,202505021639,"110.70"
27,202505021643,"110.80"
28,202505021649,"109.70"
29,202505021707,"109.72"
30,202505021712,"109.74"
31,202505021715,"109.76"
32,202505021717,"109.78"
33,202505021720,"109.80"
34,202505021722,"109.82"
35,202505021724,"109.84"
36,202505021727,"109.86"
37,202505021729,"109.88"
38,202505021732,"109.90"
39,202505061203,"109.84"
40,202505061207,"109.82"
41,202505061209,"109.86"
42,202505061214,"109.85"
43,202505061516,"109.82@45pt"
44,202505061518,"109.85@25pt"
45,202505061519,"109.84@25pt"
46,202505061520,"109.86@25pt"
