,position,A channel counts,B channel counts,coincidence counts
0,-0.0009499999999999995,81324,75194,3951
1,-0.0009068181818181822,81996,75702,4042
2,-0.0008636363636363616,81447,76020,4128
3,-0.0008204545454545444,81617,76041,4066
4,-0.0007772727272727271,81900,76410,4014
5,-0.0007340909090909099,84669,80334,3962
6,-0.0006909090909090893,82248,76197,4199
7,-0.000647727272727272,82712,76007,4131
8,-0.0006045454545454548,81675,75866,3908
9,-0.0005613636363636376,82184,75293,3952
10,-0.0005181818181818169,82043,76010,4042
11,-0.00047499999999999973,82059,75724,3624
12,-0.0004318181818181825,81520,74918,3158
13,-0.00038863636363636184,81717,75850,2921
14,-0.0003454545454545446,82009,75158,2507
15,-0.0003022727272727274,81061,74570,2105
16,-0.0002590909090909102,81265,74922,1913
17,-0.00021590909090908952,80674,74447,1717
18,-0.0001727272727272723,80406,74506,1493
19,-0.0001295454545454551,81458,76491,1164
20,-8.636363636363789e-05,80486,75759,849
21,-4.318181818181721e-05,79336,73281,577
22,0.0,79436,73773,457
23,4.318181818181721e-05,79724,74316,794
24,8.636363636363789e-05,79687,73432,1088
25,0.0001295454545454551,80537,74543,1522
26,0.0001727272727272723,81257,75381,1936
27,0.00021590909090908952,80980,75543,2283
28,0.0002590909090909102,81089,76092,2743
29,0.0003022727272727274,81609,75441,2932
30,0.0003454545454545446,81661,75505,3046
31,0.00038863636363636184,82257,75435,3408
32,0.0004318181818181825,82652,76120,3623
33,0.00047499999999999973,82214,75861,3787
34,0.0005181818181818169,82105,75893,3942
35,0.0005613636363636376,81873,76838,3973
36,0.0006045454545454548,81849,76264,4071
37,0.000647727272727272,81818,76041,4037
38,0.0006909090909090893,81269,75007,3952
39,0.0007340909090909099,81217,74952,3889
40,0.0007772727272727271,81782,75515,4039
41,0.0008204545454545444,81359,75994,4012
42,0.000863636363636365,80851,75486,3988
43,0.0009068181818181822,82272,76036,4079
44,0.0009499999999999995,81648,76081,4124
